nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Daniel Silveira,M,25/11/1982,89,1,2,87,1,58,33763.00,307400.84,35637.58,37560.86,37098.84,37913.96,39709.62,33297.09,28745.65,27784.42,13563.62,14939.77,1149.43,NaN,0
Danrlei de Deus Hinterholz,M,18/04/1973,50,7,11,17,9,27,33763.00,219897.65,0.00,0.00,0.00,39413.57,38636.46,43580.07,37837.68,23198.87,20183.29,17047.71,0.00,NaN,0
David Miranda,M,10/05/1985,66,15,11,23,4,7,33763.00,242667.95,35259.28,43349.65,32853.62,45091.15,29890.05,33147.86,10128.77,8151.54,-817.25,5613.28,0.00,NaN,0
Darci de Matos,M,08/11/1961,80,2,10,55,3,9,33763.00,269534.87,27456.09,37612.31,41962.71,38942.67,42279.75,18366.03,26329.15,14161.38,1290.05,20268.72,866.01,NaN,0
David Soares,M,21/12/1973,63,11,3,47,12,1,33763.00,183939.37,103135.91,105402.63,31858.14,35507.14,29111.16,37770.69,23083.39,13606.57,7900.18,4802.08,300.02,NaN,2
Delegado Pablo,M,26/07/1976,78,0,14,112,0,30,33763.00,369191.63,28267.00,51491.99,65512.79,64732.08,41341.87,31189.75,32398.76,26832.20,17440.00,7823.37,2161.82,NaN,0
Delegado Éder Mauro,M,14/12/1960,79,3,10,4,0,12,33763.00,325195.22,46351.28,56697.20,17871.34,52514.33,52104.65,51446.49,39019.70,6514.58,2675.65,0.00,0.00,NaN,0
Delegado Marcelo Freitas,M,04/03/1976,80,6,6,66,1,1,33763.00,290526.28,31421.05,43796.10,37148.52,24745.40,39348.34,29355.58,26303.93,19417.00,19550.28,18633.84,806.24,NaN,0
Delegado Antônio Furtado,M,06/01/1972,90,1,1,73,6,19,33763.00,288816.41,34263.89,43088.49,42959.20,32920.98,47359.21,16303.12,19852.22,12243.23,8092.66,27244.72,4488.69,NaN,0
Delegado Waldir,M,28/11/1962,86,6,0,7,5,44,33763.00,149309.65,14119.59,16610.96,17642.50,17254.73,17514.69,15282.52,15088.53,12955.79,10015.33,11921.51,903.50,NaN,0
Diego Andrade,M,08/08/1977,70,22,0,7,11,9,33763.00,217838.28,28386.47,32013.45,32859.73,17554.55,41393.91,15224.17,22079.82,8663.35,11458.92,8203.91,0.00,NaN,0
Diego Garcia,M,10/10/1984,89,3,0,134,3,43,33763.00,263861.19,9153.29,13917.88,34960.78,39069.90,47847.45,36301.69,32663.59,20367.53,6819.55,16986.39,5773.14,NaN,0
Denis Bezerra,M,17/03/1980,88,1,3,70,1,9,33763.00,400260.91,46094.78,53674.69,52475.51,52185.85,40861.85,33475.40,24901.37,18145.39,17544.23,44329.57,16572.27,NaN,0
Dimas Fabiano,M,23/05/1973,86,5,1,18,3,1,33763.00,283523.77,30575.40,29897.78,36489.01,37782.58,34645.39,23877.46,33775.98,26291.36,16347.48,12634.33,1207.00,NaN,0
Domingos Neto,M,29/04/1988,79,6,7,30,6,25,33763.00,346157.45,33731.48,52313.10,36169.17,53317.93,77719.59,22751.47,19502.64,3346.59,2837.01,44468.47,0.00,NaN,0
Domingos Sávio,M,25/03/1957,87,3,2,29,1,6,33763.00,311182.97,24341.19,52616.35,44927.02,32735.37,48074.76,26928.66,27300.43,24815.98,18843.40,9599.00,1000.81,NaN,0
Doutor Luizinho,M,15/12/1973,67,0,25,14,0,22,33763.00,266546.32,27501.17,33784.37,41465.77,43233.68,38833.58,24163.31,23117.56,18685.19,10202.91,5508.98,49.80,NaN,0
Dr. Frederico,M,24/03/1977,83,0,9,24,0,57,33763.00,310970.98,31170.62,36914.75,42269.93,38087.59,42514.00,33769.22,28862.16,24728.50,11486.99,20931.45,235.77,NaN,0
Dr. Jaziel,M,03/05/1961,69,3,20,12,1,26,33763.00,332318.98,53231.07,44873.85,55545.89,35428.27,35377.77,36517.71,20837.34,20773.89,21505.53,8227.66,0.00,NaN,0
Dr. Luiz Ovando,M,25/09/1949,86,5,1,70,0,12,33763.00,353911.42,40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21752.29,13797.33,2945.05,NaN,0
Dr. Zacharias Calil,M,05/11/1953,82,10,0,85,8,27,33763.00,227743.53,25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5479.94,20331.91,836.49,NaN,0
Edilázio Júnior,M,04/05/1981,87,5,0,12,1,0,33763.00,274890.22,29645.70,67991.37,21709.65,54054.00,19692.50,28378.82,18023.27,5308.77,14235.23,15850.91,0.00,NaN,0
Edio Lopes,M,04/01/1952,71,5,16,18,2,5,33763.00,352768.46,42432.81,39836.40,47117.63,54268.93,97784.62,14519.68,22739.81,16900.14,1349.74,15390.97,427.73,NaN,0
Eduardo Bismarck,M,14/11/1981,81,11,0,72,7,9,33763.00,387671.83,42771.78,48433.07,53046.89,40615.87,53171.37,35061.57,49986.03,24512.53,5591.91,32141.23,2339.58,NaN,1
Eduardo Barbosa,M,25/08/1958,92,0,0,91,0,17,33763.00,247845.06,22913.32,25992.80,30951.65,37263.00,34686.06,29255.32,23832.28,9244.83,5608.98,27466.51,630.31,NaN,0
Eduardo Bolsonaro,M,10/07/1984,76,14,2,27,6,12,33763.00,290688.80,19129.11,45801.56,20862.74,34033.24,20812.35,36151.56,54678.40,29120.22,20452.30,9195.67,451.65,NaN,1
Eduardo da Fonte,M,17/10/1972,84,3,5,2,1,40,33763.00,329401.10,34083.35,42566.48,45258.71,48013.04,46806.07,25355.86,21639.01,25533.18,16566.48,23578.92,0.00,NaN,0
Dr. Leonardo,M,14/06/1978,91,0,1,27,1,2,33763.00,319714.69,42371.40,36053.31,44978.86,51992.40,41703.89,36956.95,29525.44,11128.25,9478.35,15240.77,285.07,NaN,0
Eduardo Costa,M,16/02/1968,83,9,0,10,6,9,33763.00,333478.23,37602.77,29483.97,45130.56,42628.52,64988.16,22063.45,21894.85,13694.30,16136.05,37509.90,2345.70,NaN,0
Eduardo Cury,M,19/09/1963,88,3,1,73,1,3,33763.00,331285.52,44245.79,43411.00,38868.35,28628.41,38316.02,37405.99,32488.40,25399.98,15738.89,25605.38,1177.31,NaN,1
Efraim Filho,M,18/03/1979,73,9,10,6,5,14,33763.00,265206.49,31920.25,54289.28,52463.46,51650.40,42763.10,7412.58,9627.39,8755.96,1.36,5893.42,429.29,NaN,0
Eli Borges,M,01/09/1960,81,0,11,6,0,11,33763.00,389429.95,31188.98,46066.46,51592.15,46239.19,48724.20,43313.71,41770.08,35826.39,32575.57,10263.37,1869.85,NaN,0
Eli Corrêa Filho,M,13/01/1976,82,0,10,42,0,27,33763.00,265305.28,22593.30,23225.37,28285.66,57687.80,56126.53,30297.57,22196.45,6522.28,421.69,17948.63,0.00,NaN,0
Elmar Nascimento,M,06/07/1970,68,24,0,1,0,0,33763.00,401079.82,11585.43,41325.81,49088.47,60314.77,42793.20,47062.33,37636.26,47299.08,35534.24,28440.23,0.00,NaN,1
Enio Verri,M,27/03/1961,89,2,1,32,0,4,33763.00,350522.15,38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,20363.46,60.00,NaN,0
Elias Vaz,M,04/07/1966,82,9,1,81,5,14,33763.00,167084.01,15838.58,26200.21,25592.46,27999.68,27596.14,12853.99,11787.89,3017.22,323.45,15362.24,512.15,NaN,0
