nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Hugo Leal,M,06/08/1962,83,2,7,70,1,31,33763.00,267274.34,40671.93,32691.99,34664.43,37481.29,39390.80,39996.77,11917.66,7954.59,11414.08,10676.95,413.85,NaN,0
Hiran Gonçalves,M,19/06/1957,77,4,11,27,3,18,33763.00,375045.21,34740.26,45379.55,50365.66,68428.93,60380.39,35706.97,31871.73,12574.08,14926.10,20671.54,0.00,NaN,1
Hugo Motta,M,11/09/1989,78,9,5,0,6,18,33763.00,304004.53,42647.30,52115.97,50321.06,50233.24,33832.88,19843.09,21744.93,18363.15,3236.29,10960.30,706.32,NaN,0
Benes Leocádio,M,22/04/1966,88,3,1,35,2,6,33763.00,352784.66,32697.33,37181.80,51640.86,47232.83,43851.34,39594.20,33482.93,21709.18,17997.68,27006.51,390.00,NaN,0
Bibo Nunes,M,09/01/1957,90,2,0,33,2,21,33763.00,442619.00,36377.50,114136.35,111815.04,46216.96,43243.88,31393.94,31363.41,21004.27,5421.62,1646.03,0.00,NaN,0
Beto Pereira,M,14/11/1977,87,2,3,29,3,42,33763.00,317620.57,31302.38,37733.45,46071.17,46424.41,43050.57,37786.28,29839.31,16128.37,5877.55,23407.08,0.00,NaN,0
Beto Faro,M,20/06/1969,82,0,10,5,0,17,33763.00,348358.45,50640.64,51528.80,53130.42,38245.47,56264.93,15343.49,16815.59,14152.72,12879.36,11197.03,28160.00,NaN,0
Bira do Pindaré,M,01/11/1968,82,10,0,21,10,26,33763.00,395081.21,20679.85,23825.08,34402.73,76284.21,96746.00,27251.80,28044.88,18372.93,31746.67,37651.58,75.48,NaN,0
Bohn Gass,M,05/02/1962,90,2,0,24,0,15,33763.00,362192.59,30693.35,43896.78,51772.61,63215.02,45029.72,40093.42,35113.72,22679.14,13260.28,15328.65,1109.90,NaN,0
Beto Rosado,M,01/02/1982,77,13,2,18,9,7,33763.00,417583.23,38508.13,49871.28,49026.92,51520.30,44584.40,32245.60,35040.79,36239.48,26275.26,54271.07,0.00,NaN,0
Bilac Pinto,M,08/06/1963,80,5,7,54,3,7,33763.00,366957.28,38107.55,39391.23,36766.95,36370.18,36320.33,35989.93,35978.06,36058.35,36004.29,35970.41,0.00,NaN,0
Bosco Costa,M,28/09/1950,88,2,2,37,0,9,33763.00,381415.21,31663.79,50001.03,50347.54,42678.14,42852.09,50270.89,42871.55,39751.16,27086.09,3892.93,0.00,NaN,0
Capitão Augusto,M,04/10/1966,85,3,4,29,2,39,33763.00,303764.68,32590.99,32708.93,42982.94,38181.18,46093.18,19473.47,21678.43,15614.72,14321.17,37541.05,2578.62,NaN,0
Bosco Saraiva,M,10/10/1959,71,3,18,16,1,9,33763.00,442571.13,36572.34,70842.66,44263.27,65965.82,34723.62,32000.51,62345.58,33068.34,15213.66,45530.25,2045.08,NaN,0
Bozzella,M,17/08/1980,83,8,1,42,5,9,33763.00,331580.49,31567.57,39636.09,43735.10,36718.08,40304.87,30143.90,40029.84,26482.22,25062.37,16682.72,1217.73,NaN,0
Camilo Capiberibe,M,23/05/1972,89,3,0,67,5,20,33763.00,340932.11,57270.81,54545.96,40139.58,50674.76,29912.43,32899.67,36174.05,9998.80,8076.55,21239.50,0.00,NaN,0
Capitão Alberto Neto,M,05/05/1982,88,2,2,66,1,3,33763.00,268303.10,10761.97,32144.12,50784.42,59974.73,36167.69,18635.29,18846.91,9376.93,3645.06,27765.98,200.00,NaN,0
Capitão Derrite,M,10/10/1984,90,0,2,21,0,0,33763.00,318929.77,33369.05,48294.13,42375.69,37535.61,31336.58,34084.37,31084.94,27610.70,13353.72,19884.98,0.00,NaN,0
Cacá Leão,M,03/11/1979,71,5,16,12,3,14,33763.00,370012.26,30097.59,41252.22,49713.11,49721.69,45749.21,41212.41,38074.00,37034.37,15768.01,21168.63,221.02,NaN,0
Capitão Fábio Abreu,M,31/12/1972,90,1,1,56,0,9,33763.00,415287.33,27176.43,43044.36,37886.06,54828.28,65451.97,38676.13,33219.21,38283.53,44917.64,30801.48,1002.24,NaN,0
Carlos Bezerra,M,04/11/1941,29,0,0,0,0,0,33763.00,192492.79,17099.28,55229.53,0.00,111611.13,111611.13,111611.13,2047.03,848.36,647.00,59074.08,57547.51,NaN,0
Carlos Jordy,M,08/02/1982,84,3,5,10,0,0,33763.00,200049.25,17012.14,21954.01,27544.00,16413.28,29052.38,31940.35,20649.20,10845.10,8771.04,14632.54,1235.21,NaN,0
Capitão Wagner,M,21/01/1979,31,0,2,0,0,1,33763.00,226591.14,55521.07,32236.66,11029.18,111652.64,111665.79,110952.40,12950.64,18376.97,6416.85,14045.83,76013.94,NaN,0
Carlos Chiodini,M,08/03/1982,85,4,3,25,6,8,33763.00,264102.62,21142.87,33080.35,34458.92,35659.60,28696.29,31410.11,38827.88,16920.33,11149.03,11990.98,766.26,NaN,2
Carlos Gomes,M,13/06/1972,92,0,0,21,2,4,33763.00,273109.72,18748.87,25578.63,34691.71,31224.22,55517.35,34811.05,23121.54,21226.21,9739.25,16929.54,1521.35,NaN,0
Carlos Sampaio,M,31/03/1963,87,1,4,14,0,5,33763.00,317099.50,25615.74,56684.49,51456.20,45438.40,42806.53,22600.90,21181.85,14951.58,15364.01,20999.80,0.00,NaN,0
Carlos Henrique Gaguim,M,21/04/1961,79,1,12,33,1,24,33763.00,379726.43,38480.40,54727.25,51686.19,49827.56,38169.71,34594.12,36583.75,31857.00,13993.12,27863.38,1943.95,NaN,0
José Guimarães,M,13/02/1957,87,5,0,30,1,6,33763.00,333700.79,35580.92,49264.70,53330.78,44056.16,39099.98,40522.75,38743.31,5167.09,5484.15,22450.95,0.00,NaN,0
Jose Mario Schreiner,M,08/02/1961,90,1,1,23,1,18,33763.00,323143.92,32378.68,34131.00,35150.44,34335.14,33895.08,34419.78,30802.48,30264.95,28822.57,28943.80,0.00,NaN,0
José Medeiros,M,19/03/1970,91,1,0,13,0,12,33763.00,426112.57,41612.96,57092.54,53792.40,51560.09,69600.74,44189.19,32055.20,28733.60,28925.42,18420.03,130.40,NaN,1
José Nunes,M,18/12/1950,37,0,0,0,0,0,33763.00,154388.84,51304.13,44699.63,41468.03,14382.59,0.00,0.00,0.00,0.00,0.00,0.00,2534.46,NaN,0
José Nelto,M,19/09/1960,76,9,7,11,6,27,33763.00,359343.92,18842.70,31027.78,65930.97,33393.00,58347.09,9066.40,44447.74,45204.58,52635.69,447.97,0.00,NaN,0
José Ricardo,M,23/06/1964,87,4,1,52,1,2,33763.00,382583.27,47539.51,48226.11,44947.97,40154.45,56607.85,45635.99,32568.83,18088.42,9458.98,36000.03,3355.13,NaN,0
José Priante,M,02/12/1963,74,3,15,2,0,0,33763.00,244951.04,14028.01,21611.02,36293.55,46059.11,26042.21,30264.32,17847.28,45184.97,5617.88,1912.68,90.01,NaN,0
Joseildo Ramos,M,23/08/1957,84,3,5,33,0,2,33763.00,400810.51,60500.14,44516.13,51988.63,37649.80,23871.94,49876.84,34364.16,32616.98,28446.92,36561.73,417.24,NaN,0
José Rocha,M,18/08/1948,82,10,0,43,14,30,33763.00,354547.78,25275.02,33000.03,37777.87,42689.97,36822.12,29942.35,43118.28,38255.35,34624.45,20042.34,13000.00,NaN,1
Julio Cesar Ribeiro,M,24/02/1975,87,2,3,60,6,6,33763.00,264972.41,26890.10,28619.85,35118.26,31477.20,38418.47,33269.13,13143.92,14635.22,24623.70,18776.56,0.00,NaN,0
Josias Gomes,M,14/10/1956,53,14,1,14,6,8,33763.00,255965.94,0.00,0.00,0.00,37812.96,42560.03,33851.36,34320.23,29429.08,28432.62,49159.66,400.00,NaN,0
Josimar Maranhãozinho,M,13/11/1976,41,0,2,0,0,0,33763.00,164211.32,36371.45,47905.56,52338.19,17061.07,111471.60,111471.60,111508.56,511.98,4108.54,3611.78,2302.75,NaN,0
Julian Lemos,M,05/01/1976,82,3,7,11,2,13,33763.00,289412.76,38644.26,43307.15,46413.68,34292.95,40271.63,18048.99,23755.06,10112.59,13734.90,20831.55,0.00,NaN,0
Josivaldo JP,M,29/11/1983,88,4,0,29,6,0,33763.00,285152.49,21390.12,50216.34,69141.88,54516.89,31532.54,14146.15,9948.48,25223.10,5493.00,3348.14,195.85,NaN,0
Júlio Cesar,M,25/08/1948,86,4,2,29,1,2,33763.00,336363.06,48212.84,33482.83,56838.12,35813.07,40211.43,44250.16,29186.93,16972.21,8076.85,23318.62,0.00,NaN,0
Juarez Costa,M,20/01/1960,76,14,2,30,10,4,33763.00,292602.49,33762.77,33266.96,40259.36,37858.68,49103.29,26328.45,25776.41,20924.48,16871.27,8450.82,0.00,NaN,0
Junio Amaral,M,30/06/1987,91,1,0,30,0,0,33763.00,181155.78,18060.29,15136.46,25610.69,31335.45,31129.39,17956.64,18110.53,6532.70,3657.75,12777.63,848.25,NaN,0
Juninho do Pneu,M,23/10/1976,90,0,2,25,0,22,33763.00,341881.97,33072.15,34365.28,31977.44,39661.39,44814.09,26560.48,25486.90,17046.65,12279.37,74480.11,2138.11,NaN,0
Júlio Delgado,M,18/11/1966,91,0,1,48,0,31,33763.00,248637.15,23586.52,35296.45,37276.65,34364.11,56841.53,17475.27,17669.93,11169.38,4631.02,9882.75,443.54,NaN,0
Júnior Ferrari,M,13/07/1967,90,0,2,9,0,3,33763.00,101898.88,8680.31,8762.84,8003.19,21597.73,19604.33,15478.69,6864.46,622.21,109.48,11725.84,449.80,NaN,0
Júnior Mano,M,16/04/1985,67,8,17,6,3,30,33763.00,277111.84,35529.67,16147.74,37180.59,37869.41,76496.63,42600.85,18616.90,5577.94,2414.69,4677.42,0.00,NaN,0
Junior Lourenço,M,18/10/1978,54,12,26,0,1,20,33763.00,331069.51,11881.07,43757.09,57829.96,32636.52,44333.41,47598.39,27942.49,30668.11,18880.73,15541.74,0.00,NaN,0
Juscelino Filho,M,06/11/1984,85,4,3,1,0,1,33763.00,391234.28,39558.44,52848.98,44643.51,50698.44,48470.78,55791.11,40356.17,36000.27,18177.58,4637.09,51.91,NaN,0
Kim Kataguiri,M,28/01/1996,84,4,4,62,3,12,33763.00,207975.10,15889.67,9310.42,33877.21,35453.98,36648.40,30223.62,22699.49,16601.85,3139.41,4131.05,0.00,NaN,1
Laercio Oliveira,M,15/04/1959,72,14,6,16,5,7,33763.00,311444.97,20598.89,31888.12,37935.34,49827.18,37808.58,37653.44,39566.37,25894.47,5389.55,18814.62,6068.41,NaN,0
Leo de Brito,M,13/04/1979,86,4,2,36,5,9,33763.00,424565.90,64865.56,69430.57,43427.25,44023.23,56266.09,40451.85,28627.98,32993.68,24136.85,19519.34,823.50,NaN,0
Léo Motta,M,26/10/1973,79,5,8,12,1,20,33763.00,275057.60,31696.46,33415.26,41054.56,36954.21,40691.83,31408.70,21963.05,10012.55,6213.10,20620.89,1026.99,NaN,0
Lafayette de Andrada,M,17/10/1966,87,5,0,59,0,27,33763.00,384049.42,29251.73,39861.64,52826.59,42134.64,41334.11,44226.72,44285.13,35678.49,26877.94,24405.70,3166.73,NaN,0
Leônidas Cristino,M,03/06/1957,85,7,0,48,5,18,33763.00,283122.63,32267.47,34350.83,36617.13,40189.49,36516.96,25613.05,35368.62,14652.50,7798.15,18180.68,1567.75,NaN,0
Léo Moraes,M,11/01/1984,81,8,3,61,5,1,33763.00,221773.94,13458.24,17561.59,41858.77,39472.79,46876.47,27265.70,10199.77,4604.15,1514.89,18486.41,475.16,NaN,0
Leur Lomanto Júnior,M,28/10/1976,82,6,4,29,11,43,33763.00,350641.16,30310.76,39689.23,42708.93,44491.12,47331.80,40167.99,35099.32,30877.77,25888.18,13973.40,102.66,NaN,0
Leonardo Monteiro,M,09/10/1951,90,2,0,78,2,31,33763.00,370539.54,30287.88,38974.45,44293.05,49461.68,42783.49,32773.39,37659.13,39429.92,28141.96,26644.63,89.96,NaN,0
Lincoln Portela,M,03/11/1953,86,5,1,9,0,0,33763.00,302380.75,24877.94,37260.00,28541.76,33349.11,37659.28,37644.95,32037.05,27785.28,19637.79,23587.59,0.00,NaN,0
Lucas Gonzalez,M,21/12/1988,88,2,2,31,1,15,33763.00,141356.58,14001.15,13315.11,17768.47,23175.15,28588.17,17992.12,7639.28,4616.15,6645.82,7490.33,124.83,NaN,0
Lourival Gomes,M,22/07/1955,86,3,3,14,2,5,33763.00,314643.56,14519.64,25717.22,37716.76,46990.20,74614.42,33015.39,23533.31,15875.95,17628.00,24074.18,958.49,NaN,0
Loester Trutis,M,21/09/1982,66,1,25,8,0,0,33763.00,427961.76,51222.08,55278.77,68803.71,41378.22,24009.95,28151.93,27178.56,45367.11,40789.46,45377.79,404.18,NaN,0
Luciano Bivar,M,29/11/1944,51,41,0,0,0,0,33763.00,185857.07,18381.42,23290.80,32989.31,19048.08,43618.09,14831.36,14148.53,7726.22,9042.28,2778.63,2.35,NaN,0
Lucas Redecker,M,26/05/1981,85,4,3,49,4,2,33763.00,297861.04,18366.95,19763.29,37306.39,48214.90,50732.70,27914.60,43469.68,18833.03,14310.90,17733.59,1215.01,NaN,0
Lucas Vergilio,M,08/04/1987,67,25,0,19,12,58,33763.00,228649.05,22480.50,18432.79,22998.58,21079.17,26003.40,20905.29,18201.85,23018.52,21902.15,33626.80,0.00,NaN,0
Luciano Ducci,M,23/03/1955,83,0,9,28,0,21,33763.00,325541.91,46474.19,48810.14,35792.35,32052.26,47967.64,31152.19,36214.31,17713.75,17321.87,12043.21,0.00,NaN,0
Lucio Mosquini,M,23/07/1969,65,18,9,7,10,4,33763.00,317655.34,22814.86,37943.72,37277.68,33863.39,52954.34,60039.82,35256.76,13602.35,5303.46,17979.22,619.74,NaN,1
Luis Miranda,M,27/03/1980,91,1,0,65,0,0,33763.00,198128.85,16743.53,33704.02,30605.59,26090.58,21766.24,23916.74,17430.46,16138.85,4746.41,6649.23,337.20,NaN,0
Luis Tibé,M,23/07/1971,65,27,0,0,0,1,33763.00,228064.88,25577.63,20154.79,20262.58,21384.26,23717.87,83724.33,12724.71,6700.30,7096.25,246.71,6475.45,NaN,0
Márcio Macêdo,M,18/09/1970,52,1,1,8,2,4,33763.00,170891.09,NaN,NaN,NaN,0.00,16787.66,27268.99,38765.68,38156.83,35940.77,13716.17,254.99,NaN,0
Márcio Marinho,M,12/12/1970,74,11,7,21,5,6,33763.00,377422.20,28608.42,24612.71,87100.11,35803.17,42787.11,34980.07,29850.24,23287.44,13207.27,54226.75,2958.91,NaN,1
Marco Bertaiolli,M,30/04/1968,88,1,3,26,0,3,33763.00,206196.99,28128.86,30235.56,22907.70,47414.10,40248.99,17222.16,7514.38,7024.35,3337.00,2163.89,0.00,NaN,0
Mário Heringer,M,30/09/1954,78,3,11,38,2,22,33763.00,274347.68,35777.47,30872.80,52890.28,44007.32,33664.82,25044.69,27897.92,11606.96,7490.70,5000.00,94.72,NaN,0
Marcos Aurélio Sampaio,M,19/09/1991,86,3,3,3,5,45,33763.00,320743.52,37229.73,45797.72,35296.78,47661.27,43605.72,29896.24,19412.64,13864.08,13561.10,34248.24,170.00,NaN,0
Marcos Pereira,M,04/04/1972,79,13,0,32,6,2,33763.00,171852.69,33000.03,21288.53,42830.84,19781.81,31532.05,17820.20,2744.05,883.19,735.01,978.18,258.80,NaN,0
Marlon Santos,M,25/09/1975,63,9,20,7,4,3,33763.00,342082.31,24466.62,19158.58,27520.14,82930.62,59334.20,35941.42,30893.15,15236.67,14231.43,30169.78,2199.70,NaN,0
Mário Negromonte Jr.,M,31/08/1980,71,19,2,7,8,7,33763.00,284307.76,26386.19,33065.98,33489.75,58105.20,54891.47,26596.75,27166.91,10040.39,1001.41,13563.71,0.00,NaN,0
Marcon,M,21/09/1964,82,1,9,41,5,6,33763.00,358478.31,33805.52,34685.04,46776.77,67340.35,43567.04,42706.44,25113.89,25890.66,17413.91,19958.86,1219.83,NaN,0
Marreca Filho,M,25/04/1992,76,12,4,17,13,16,33763.00,420870.26,52702.54,51161.51,54284.92,48630.65,43394.41,32253.04,34492.26,31643.88,27540.63,42959.03,1807.39,NaN,0
Marx Beltrão,M,28/11/1979,83,6,3,32,4,24,33763.00,286848.74,43947.39,60863.33,59802.08,39037.85,24587.92,10485.07,8409.92,2.48,198.65,39514.05,0.00,NaN,0
Maurício Dziedricki,M,26/07/1979,90,1,1,11,8,20,33763.00,378904.42,28557.96,41243.96,59588.36,44634.78,61628.19,34814.58,28693.50,28155.60,27746.72,23740.77,100.00,NaN,0
Mauro Benevides Filho,M,09/03/1959,88,4,0,28,1,0,33763.00,259295.91,21129.13,18098.14,36566.13,44445.37,32089.23,29659.65,21607.31,13765.35,7891.60,33025.01,1018.99,NaN,1
Merlong Solano,M,17/09/1958,83,8,1,49,5,15,33763.00,326197.01,32534.86,34007.17,65910.85,49741.86,44576.54,33550.37,18790.80,882.39,2185.46,41562.14,2454.57,NaN,0
Mauro Lopes,M,24/05/1936,84,0,8,20,0,24,33763.00,332160.11,29210.99,42786.99,43725.40,42443.21,51164.98,31636.03,29963.37,26198.94,19363.50,15666.70,0.00,NaN,0
Miguel Lombardi,M,29/01/1964,92,0,0,59,0,13,33763.00,220423.23,21529.06,20198.21,30632.06,38065.72,45564.65,12768.86,16882.42,10720.35,11587.90,8071.09,4402.91,NaN,0
Mauro Nazif,M,30/01/1959,91,0,1,36,0,25,33763.00,105889.65,4235.25,3815.58,13417.43,17031.41,26117.27,21453.99,8734.30,4519.14,1.25,6106.45,457.58,NaN,0
Milton Coelho,M,21/12/1964,73,10,9,13,5,8,33763.00,415186.29,41372.83,54381.30,41283.16,61001.85,69046.75,36898.77,32238.51,31948.13,25293.35,20799.93,921.71,NaN,0
Nelson Barbudo,M,14/02/1960,79,9,4,20,0,0,33763.00,367306.86,51552.78,56554.42,57033.13,51660.97,58746.46,6365.91,10378.00,3887.61,6650.92,59712.60,4764.06,NaN,0
Milton Vieira,M,16/09/1962,76,9,7,20,5,10,33763.00,285124.17,15104.76,24431.95,43074.46,32806.86,43685.44,26364.39,34727.21,27787.62,21615.96,15525.52,0.00,NaN,0
Misael Varella,M,27/11/1959,72,16,4,2,2,9,33763.00,299785.19,40550.65,28772.67,40433.83,36515.71,55694.58,22863.70,26098.84,9549.21,6139.63,32867.48,298.89,NaN,0
Neri Geller,M,07/11/1968,60,14,18,25,7,18,33763.00,331859.72,26016.06,29783.49,39536.45,41096.72,45632.52,37712.93,29857.26,35665.64,22036.30,22888.71,1633.64,NaN,1
Nereu Crispim,M,21/07/1963,76,15,1,36,16,14,33763.00,421208.83,52892.77,67730.02,46926.51,36681.89,35764.37,43612.55,21861.94,16947.45,12990.65,84534.84,1265.84,NaN,0
Neucimar Fraga,M,26/06/1966,87,1,4,68,0,7,33763.00,361685.36,34545.81,33612.52,49730.98,55029.76,67613.75,35393.03,21575.54,12366.55,10463.83,38694.76,2658.83,NaN,1
Ney Leprevost,M,26/10/1973,58,6,2,51,4,0,33763.00,250300.45,0.00,0.00,0.00,28018.44,32989.51,37760.39,35739.57,26480.21,19925.20,69342.63,44.50,NaN,0
Newton Cardoso Jr,M,11/11/1979,85,1,6,25,1,12,33763.00,282055.82,62781.95,58116.52,45506.36,30662.50,33316.42,24375.56,21306.96,5675.41,213.73,73.61,26.80,NaN,1
Nicoletti,M,21/07/1981,75,1,16,59,0,31,33763.00,372953.96,38016.72,67484.95,68546.23,46662.93,44145.52,29902.09,21903.43,14408.35,16165.84,24630.72,1087.18,NaN,0
Nilson Pinto,M,25/03/1952,77,0,15,26,0,39,33763.00,340817.41,39664.04,46872.66,56655.20,37457.02,35301.13,36143.13,32546.53,26440.59,14982.99,14304.13,449.99,NaN,0
Onyx Lorenzoni,M,03/10/1954,54,0,15,11,0,15,33763.00,146437.17,0.00,0.00,2593.42,28196.18,26612.67,21776.63,21981.35,21195.51,7837.63,15591.09,652.69,NaN,0
Nivaldo Albuquerque,M,07/01/1988,67,10,15,3,5,19,33763.00,394279.73,51142.75,32527.80,37455.06,44128.80,45988.02,40122.75,36721.32,36428.86,25644.56,44119.81,0.00,NaN,0
Odair Cunha,M,18/06/1976,83,6,3,10,1,4,33763.00,312278.47,55346.62,34653.62,37546.58,42542.21,34172.80,29794.44,18443.73,32816.78,7463.12,18905.38,593.19,NaN,0
Olival Marques,M,09/01/1982,81,6,5,14,1,21,33763.00,348705.13,64969.14,46736.63,44780.36,30622.11,46335.41,33972.17,36328.22,102.58,52.03,44758.25,48.23,NaN,0
Osires Damaso,M,16/04/1963,53,4,3,28,7,10,33763.00,257099.87,31408.43,40910.15,58301.89,73416.69,21231.60,1370.50,104902.35,104902.35,106842.20,28450.28,2010.33,NaN,0
Orlando Silva,M,27/05/1971,86,6,0,55,2,29,33763.00,347684.93,34078.45,50115.29,48011.52,36761.90,35143.24,42254.79,31343.85,29333.12,17559.57,22948.20,135.00,NaN,1
Osmar Serraglio,M,23/05/1948,90,2,0,18,1,5,33763.00,322631.42,19077.70,29207.40,26130.41,20067.80,44531.69,51037.47,44790.12,55420.83,11647.40,19012.20,1708.40,NaN,0
Nilto Tatto,M,31/07/1963,87,4,1,28,4,17,33763.00,343362.50,21771.11,30106.02,49511.22,34833.12,65168.75,26285.28,25096.49,26593.94,14143.77,37174.67,12678.13,NaN,1
Osmar Terra,M,18/02/1950,78,13,1,51,19,1,33763.00,357380.78,33397.85,46176.89,34640.39,49625.96,53227.35,32297.67,37884.20,36597.23,10760.37,15804.50,6968.37,NaN,0
Ossesio Silva,M,09/12/1954,91,0,1,40,0,24,33763.00,347749.81,22856.08,32967.51,44885.09,44251.03,42878.97,36165.64,32571.00,36167.25,24417.17,28495.13,2094.94,NaN,0
Otoni de Paula,M,22/11/1976,84,4,4,22,5,10,33763.00,315436.39,29251.54,38621.21,35407.31,38157.30,34241.98,39525.24,32193.49,28983.36,14438.89,24616.07,0.00,NaN,0
Luiz Lima,M,10/12/1977,92,0,0,58,0,1,33763.00,270984.21,31403.73,29475.83,44044.70,36275.81,37791.57,25474.97,22228.02,13587.63,12264.36,18437.59,0.00,NaN,0
Luiz Carlos,M,16/08/1979,54,6,8,22,7,29,33763.00,319812.15,0.00,0.00,0.00,60278.28,45102.92,59103.24,25424.98,22413.28,4801.02,102688.43,0.00,NaN,0
Luiz Carlos Motta,M,24/04/1959,84,0,8,25,0,25,33763.00,205688.55,14042.14,18661.32,27321.30,27399.17,56728.50,17013.50,17082.53,5413.05,9042.24,12724.51,260.29,NaN,0
Ottaci Nascimento,M,18/08/1977,74,4,14,9,3,36,33763.00,376012.81,34097.64,49392.31,48210.97,34983.27,71884.29,52613.86,34187.15,24172.09,19176.44,7294.79,0.00,NaN,0
Otto Alencar Filho,M,07/07/1977,85,7,0,38,3,5,33763.00,330138.13,28191.31,32661.13,41179.54,35834.47,40153.83,38194.37,35104.11,30226.34,27484.62,19263.73,1844.68,NaN,0
Luiz Nishimori,M,09/04/1949,70,19,3,19,6,7,33763.00,330074.38,26662.66,40716.70,40962.20,48292.97,35368.39,19045.34,23509.88,23445.46,13016.89,59053.89,0.00,NaN,1
Luiz Philippe de Orleans e Bragança,M,03/04/1969,83,0,9,26,0,7,33763.00,237438.20,19234.16,41336.91,21511.75,44161.20,47173.05,7449.77,24167.48,10538.27,769.81,21095.80,0.00,NaN,0
Marcel van Hattem,M,08/11/1985,92,0,0,73,13,4,33763.00,99403.16,8123.69,12211.18,14110.85,12804.33,14137.18,10989.52,6481.38,8305.85,1594.95,9969.54,674.69,NaN,1
Marcelo Álvaro Antônio,M,16/02/1974,82,0,10,12,0,5,33763.00,302309.79,30085.79,36472.63,48468.84,34529.84,42150.69,25388.43,21373.22,20519.82,20596.13,22114.84,609.56,NaN,0
Luizão Goulart,M,06/06/1962,83,6,3,79,3,4,33763.00,288427.80,17529.81,25209.26,29794.99,33767.73,60114.45,51834.55,20110.94,22280.94,15181.93,11105.50,1497.70,NaN,0
Major Vitor Hugo,M,31/05/1977,87,5,0,3,0,0,33763.00,248371.66,16432.60,26263.43,32192.06,24370.73,53974.90,20455.63,20521.90,18883.41,19878.69,14201.72,1196.59,NaN,0
Marcelo Aro,M,12/06/1987,84,3,5,10,2,47,33763.00,331256.69,26986.31,36645.34,47099.34,36707.50,41663.07,44619.68,30286.71,26697.75,23922.88,14890.89,1737.22,NaN,0
Marcelo Calero,M,07/07/1982,65,5,0,52,7,23,33763.00,194810.31,0.00,1.10,0.00,29402.30,28404.63,33524.41,20206.58,29621.93,26800.12,25672.41,1176.83,NaN,0
Marcelo Freixo,M,12/04/1967,87,0,5,4,0,14,33763.00,229992.13,25371.50,37740.75,19009.57,39407.40,37663.26,20187.89,24073.45,6438.59,3826.90,16272.82,0.00,NaN,0
Marcelo Moraes,M,07/08/1979,87,3,2,16,3,16,33763.00,221446.17,15903.33,44958.34,24488.41,24420.07,33677.36,32417.15,26539.86,4190.21,4950.67,9900.77,0.00,NaN,0
Márcio Biolchi,M,23/05/1979,82,8,2,1,0,7,33763.00,328745.98,29839.52,27502.09,37568.05,60835.16,62647.47,28392.17,39477.13,22006.65,9774.70,9645.25,1057.79,NaN,0
Marcelo Nilo,M,26/04/1955,80,6,6,13,2,0,33763.00,368635.59,61106.10,34937.85,36268.18,40958.43,35389.33,43742.38,26510.69,33743.64,26004.96,25512.62,4461.41,NaN,0
Marcelo Ramos,M,29/08/1973,82,8,2,2,0,7,33763.00,423392.28,20242.76,39354.81,57067.23,41462.69,41579.55,62349.92,61760.73,26114.33,23392.50,49853.80,213.96,NaN,0
Marcio Alvino,M,14/06/1969,92,0,0,3,0,2,33763.00,134.51,0.65,10.41,24.07,12.54,20.48,24.95,21.49,16.96,2.96,0.00,0.00,NaN,0
Márcio Jerry,M,14/11/1966,63,2,3,21,0,14,33763.00,168049.18,0.00,0.00,0.00,20971.05,47522.26,31931.29,25964.48,19440.27,14973.54,6427.26,819.03,NaN,0
Márcio Labre,M,27/02/1974,88,2,2,40,0,15,33763.00,259184.89,31765.87,30612.66,44672.56,38731.34,39322.53,28005.00,17658.24,14921.61,10479.54,2959.53,56.01,NaN,0
Pedro Augusto Palareti,M,08/05/1963,58,30,4,0,0,0,33763.00,367916.48,45002.25,41793.92,40476.10,35738.01,40011.13,27595.55,37061.80,25670.21,26876.43,47691.08,0.00,NaN,0
Pedro Lucas Fernandes,M,01/11/1979,81,10,1,45,8,12,33763.00,382136.72,35356.92,46331.54,47765.23,40146.04,35975.34,30438.93,45067.84,23587.48,20171.86,43119.46,14176.08,NaN,0
Pedro Cunha Lima,M,15/08/1988,39,0,4,0,0,1,33763.00,54842.81,15105.40,6552.71,103224.64,109682.19,109459.52,19551.73,4675.93,7482.04,744.31,730.69,0.00,NaN,0
Pedro Lupion,M,04/06/1983,80,9,3,62,1,6,33763.00,310649.76,6990.56,44793.64,46634.00,51461.51,41298.48,35147.53,27135.20,18926.03,17431.98,20830.83,0.00,NaN,2
Pedro Paulo,M,29/06/1972,63,0,5,15,0,12,33763.00,251007.52,0.00,0.00,0.00,51163.43,42918.65,43675.67,42675.89,12939.06,27396.36,30238.46,0.00,NaN,0
Pedro Uczai,M,10/03/1963,82,9,1,48,12,31,33763.00,311583.40,32367.32,27996.85,29187.49,18046.24,52327.88,47932.03,39574.89,34048.81,9759.62,19368.58,973.69,NaN,0
